"Name","State","Notes","User","Tags","Created","Runtime","Sweep","ae_layer","batch_size","branch1_layer","branch_layer","branch_weight","kl_weight","latent_dim","latent_space","learning_rate","loss_scalar","optimizer","var1","var2","var3","ae_loss","branch1_loss","branch_loss","epoch","kl","loss","recon_loss","v_ae_loss","v_branch1_loss","v_loss","vars"
"iconic-sweep-113","finished","-","sophied","","2022-03-19T17:57:21.000Z","40","3pwcrso7","18","482","6","","","","6","","0.0008172832872296989","1.8855250686292797","","","","","0.0002948655455838889","0.02772374078631401","","24","","0.028018606826663017","","0.00045740598579868674","0.02767172269523144","0.028129128739237785",""
"charmed-sweep-112","finished","-","sophied","","2022-03-19T17:55:22.000Z","117","3pwcrso7","7","104","6","","","","7","","0.0010829733575015942","2.9185386269079325","","","","","0.0004121062229387462","0.0003733382618520409","","24","","0.0007854445138946176","","0.0007024824153631926","0.000412538938689977","0.0011150212958455086",""
"firm-sweep-111","finished","-","sophied","","2022-03-19T17:54:20.000Z","59","3pwcrso7","15","372","10","","","","10","","0.004677264931155504","2.770223756623618","","","","","0.00005924971628701314","0.001852932386100292","","24","","0.0019121820805594325","","0.00017141907301265746","0.0014238532166928053","0.0015952723333612084",""
"generous-sweep-110","finished","-","sophied","","2022-03-19T17:53:33.000Z","40","3pwcrso7","17","481","10","","","","6","","0.004929375711914457","1.4658467311580332","","","","","0.0011329548433423042","0.0025393280666321516","","24","","0.003672282909974456","","0.0019353727111592889","0.002670880174264312","0.0046062530018389225",""
"warm-sweep-109","finished","-","sophied","","2022-03-19T17:52:42.000Z","48","3pwcrso7","11","379","7","","","","9","","0.001776919025986542","2.4743705198055173","","","","","0.0001577487273607403","0.0013382909819483757","","24","","0.0014960396802052855","","0.0002847108989953995","0.0013554225442931056","0.001640133443288505",""
"clean-sweep-108","finished","-","sophied","","2022-03-19T17:51:49.000Z","49","3pwcrso7","20","346","7","","","","6","","0.002682016393466627","2.8557462847579096","","","","","0.0007022219360806048","0.001157285296358168","","24","","0.0018595072906464336","","0.00115804944653064","0.0011380828218534589","0.002296132268384099",""
"chocolate-sweep-107","finished","-","sophied","","2022-03-19T17:51:01.000Z","44","3pwcrso7","20","441","6","","","","5","","0.0017648976799418577","2.459654586349425","","","","","0.00024034063972067088","0.001919030910357833","","24","","0.002159371506422758","","0.000495522515848279","0.0019505952950567007","0.0024461178109049797",""
"stoic-sweep-106","finished","-","sophied","","2022-03-19T17:50:14.000Z","42","3pwcrso7","13","411","6","","","","7","","0.0004456654332129925","2.8581618541786495","","","","","0.005893696565181017","0.011527415364980698","","24","","0.017421111464500427","","0.01220397651195526","0.011554471217095852","0.023758448660373688",""
"lemon-sweep-105","finished","-","sophied","","2022-03-19T17:48:51.000Z","76","3pwcrso7","17","148","10","","","","3","","0.004153646996133898","1.5638109584375246","","","","","0.00004757561328005977","0.00014858879148960114","","24","","0.0001961644011316821","","0.00013168709119781852","0.00009843556472333148","0.0002301226486451924",""
"fragrant-sweep-104","finished","-","sophied","","2022-03-19T17:47:54.000Z","55","3pwcrso7","10","286","5","","","","8","","0.003083991389849535","2.5149148511963726","","","","","0.00030910089844837785","0.0015883013838902116","","24","","0.0018974023405462503","","0.0005726321251131594","0.0016786884516477585","0.002251320518553257",""
